tool_name,parameters,original_description
Lab 1,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
Lab 1,"{
    ""parameters"": {
        ""id"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Add to Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
Lab 1,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create User (Sign Up)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
Lab 1,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Login"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
MultipleTeamsCallingTest,"{
    ""parameters"": {
        ""password"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The password for login in clear text"",
            ""default"": ""string""
        },
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The user name for login"",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""loginUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Logs user into the system
MultipleTeamsCallingTest,"{
    ""parameters"": {
        ""orderId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be fetched"",
            ""default"": 0
        }
    },
    ""metadata"": {
        ""endpoint"": ""getOrderById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",For valid response try integer IDs with value >= 1 and <= 10. Other values will generated exceptions
MultipleTeamsCallingTest,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to return"",
            ""default"": 0
        }
    },
    ""metadata"": {
        ""endpoint"": ""getPetById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a single pet
MultipleTeamsCallingTest,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""getInventory"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a map of status codes to quantities
MultipleTeamsCallingTest,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The name that needs to be fetched. Use user1 for testing. "",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getUserByName"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Get user by user name
MultipleTeamsCallingTest,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""logoutUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Logs out current logged in user session
MultipleTeamsCallingTest,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to update"",
            ""default"": 0
        }
    },
    ""metadata"": {
        ""endpoint"": ""uploadFile"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",uploads an image
MultipleTeamsCallingTest,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be updated"",
            ""default"": 0
        },
        ""name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated name of the pet"",
            ""default"": ""string""
        },
        ""status"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated status of the pet"",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""updatePetWithForm"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Updates a pet in the store with form data
MultipleTeamsCallingTest,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithListInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Creates list of users with given input array
MultipleTeamsCallingTest,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""placeOrder"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Place an order for a pet
MultipleTeamsCallingTest,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithArrayInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Creates list of users with given input array
MultipleTeamsCallingTest,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUser"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This can only be done by the logged in user.
MultipleTeamsCallingTest,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""addPet"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Add a new pet to the store
👋 Onboarding Project,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create Product"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
👋 Onboarding Project,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create User (Sign Up)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
👋 Onboarding Project,"{
    ""parameters"": {
        ""id"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Place Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
👋 Onboarding Project,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
👋 Onboarding Project,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Login"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
👋 Onboarding Project,"{
    ""parameters"": {
        ""id"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Add to Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
pe-demo,"{
    ""parameters"": {
        ""code"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""HTTP status code.""
        }
    },
    ""metadata"": {
        ""endpoint"": ""View status code and message"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",View status code and message for the specified value.
pe-demo,"{
    ""parameters"": {
        ""user"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Your user name.""
        }
    },
    ""metadata"": {
        ""endpoint"": ""View a personalized greeting"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",View a personalized greeting for the specified or guest user.
pe-demo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""View API affirmation"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",View API affirmation in HTML format.
pe-demo,"{
    ""parameters"": {
        ""user"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Your user name.""
        }
    },
    ""metadata"": {
        ""endpoint"": ""View personalized greeting"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",View a personalized greeting for the specified or guest user.
pe-demo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""View request headers and body"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",View the request headers and body in JSON format.
pe-demo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Validate access using basic authentication"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Validate access using basic authentication.
pe-demo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""View JSON response"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",View a sample response in JSON format.
pe-demo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""View XML response"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",View a sample response in XML format.
pe-demo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""View IP address"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",View the IP address of the client in JSON format.
pe-demo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Get help"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",View help information about available resources in HTML format.
pe-demo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Send request and view request headers and body"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Send a request and view the resulting request headers and body in JSON format.<p>The request payload can be specified using one of the following formats: application/json, application/x-www-form-urlencoded, or application/xml."
petstore blitz,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to return""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getPetById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a single pet
petstore blitz,"{
    ""parameters"": {
        ""orderId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be fetched""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getOrderById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",For valid response try integer IDs with value >= 1 and <= 10.  Other values will generated exceptions
petstore blitz,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The name that needs to be fetched. Use user1 for testing.""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getUserByName"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
petstore blitz,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""logoutUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
petstore blitz,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The user name for login""
        },
        ""password"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The password for login in clear text""
        }
    },
    ""metadata"": {
        ""endpoint"": ""loginUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
petstore blitz,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""getInventory"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a map of status codes to quantities
petstore blitz,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUser"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This can only be done by the logged in user.
petstore blitz,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to update""
        }
    },
    ""metadata"": {
        ""endpoint"": ""uploadFile"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
petstore blitz,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithArrayInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
petstore blitz,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithListInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
petstore blitz,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""addPet"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
petstore blitz,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be updated""
        },
        ""name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated name of the pet""
        },
        ""status"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated status of the pet""
        }
    },
    ""metadata"": {
        ""endpoint"": ""updatePetWithForm"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
petstore blitz,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""placeOrder"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
PetstoreRateLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""logoutUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
PetstoreRateLimit,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The user name for login""
        },
        ""password"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The password for login in clear text""
        }
    },
    ""metadata"": {
        ""endpoint"": ""loginUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
PetstoreRateLimit,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The name that needs to be fetched. Use user1 for testing. ""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getUserByName"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
PetstoreRateLimit,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to return""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getPetById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a single pet
PetstoreRateLimit,"{
    ""parameters"": {
        ""orderId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be fetched""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getOrderById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",For valid response try integer IDs with value >= 1 and <= 10. Other values will generated exceptions
PetstoreRateLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""getInventory"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a map of status codes to quantities
PetstoreRateLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithArrayInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PetstoreRateLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUser"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This can only be done by the logged in user.
PetstoreRateLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithListInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PetstoreRateLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""addPet"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PetstoreRateLimit,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be updated""
        },
        ""name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated name of the pet""
        },
        ""status"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated status of the pet""
        }
    },
    ""metadata"": {
        ""endpoint"": ""updatePetWithForm"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PetstoreRateLimit,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to update""
        },
        ""file"": {
            ""type"": ""binary"",
            ""required"": false,
            ""description"": ""file to upload""
        },
        ""additionalMetadata"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Additional data to pass to server""
        }
    },
    ""metadata"": {
        ""endpoint"": ""uploadFile"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PetstoreRateLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""placeOrder"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
Poplar Mail,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Mailing"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This endpoint allows you to trigger a mailing for a given campaign. Mailings can only be triggered for active campaigns. The API will return an error if the campaign is not yet ready.
Poplar Mail,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Orders"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Orders endpoints may be used to report customer transactions as they happen. These are used within Poplar for attribution reporting and to enable existing customers to be easily suppressed within your campaigns.
Poplar Mail,"{
    ""parameters"": {
        ""id"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Audience"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This endpoint can be used to programmatically add users to an audience.
Poplar Mail,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Do Not Mail"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Managing your do not mail list is just as important for direct mail as it is for email. We offer two ways to suppress mailings, either via an API or manually via a .csv list upload. The API is the easiest way to integrate an opt out form with our triggered mail service."
PrivatePublicAPI,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to return"",
            ""default"": 0
        }
    },
    ""metadata"": {
        ""endpoint"": ""getPetById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a single pet
PrivatePublicAPI,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The name that needs to be fetched. Use user1 for testing. "",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getUserByName"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Get user by user name
PrivatePublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""logoutUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Logs out current logged in user session
PrivatePublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""getInventory"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a map of status codes to quantities
PrivatePublicAPI,"{
    ""parameters"": {
        ""password"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The password for login in clear text"",
            ""default"": ""string""
        },
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The user name for login"",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""loginUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Logs user into the system
PrivatePublicAPI,"{
    ""parameters"": {
        ""orderId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be fetched"",
            ""default"": 0
        }
    },
    ""metadata"": {
        ""endpoint"": ""getOrderById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",For valid response try integer IDs with value >= 1 and <= 10. Other values will generated exceptions
PrivatePublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""addPet"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Add a new pet to the store
PrivatePublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithListInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Creates list of users with given input array
PrivatePublicAPI,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to update"",
            ""default"": 0
        }
    },
    ""metadata"": {
        ""endpoint"": ""uploadFile"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",uploads an image
PrivatePublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithArrayInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Creates list of users with given input array
PrivatePublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUser"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This can only be done by the logged in user.
PrivatePublicAPI,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be updated"",
            ""default"": 0
        },
        ""status"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated status of the pet"",
            ""default"": ""string""
        },
        ""name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated name of the pet"",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""updatePetWithForm"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Updates a pet in the store with form data
PrivatePublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""placeOrder"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Place an order for a pet
PublicAPITestingInbox,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to return""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getPetById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a single pet
PublicAPITestingInbox,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""getInventory"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a map of status codes to quantities
PublicAPITestingInbox,"{
    ""parameters"": {
        ""orderId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be fetched""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getOrderById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",For valid response try integer IDs with value >= 1 and <= 10. Other values will generated exceptions
PublicAPITestingInbox,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The user name for login""
        },
        ""password"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The password for login in clear text""
        }
    },
    ""metadata"": {
        ""endpoint"": ""loginUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
PublicAPITestingInbox,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""logoutUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
PublicAPITestingInbox,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The name that needs to be fetched. Use user1 for testing. ""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getUserByName"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
PublicAPITestingInbox,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to update""
        }
    },
    ""metadata"": {
        ""endpoint"": ""uploadFile"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PublicAPITestingInbox,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithArrayInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PublicAPITestingInbox,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be updated""
        },
        ""status"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated status of the pet""
        },
        ""name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated name of the pet""
        }
    },
    ""metadata"": {
        ""endpoint"": ""updatePetWithForm"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PublicAPITestingInbox,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""addPet"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PublicAPITestingInbox,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""placeOrder"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PublicAPITestingInbox,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithListInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
PublicAPITestingInbox,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUser"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This can only be done by the logged in user.
Putreq,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Endpoint A"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",end
Putreq,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Endpint B"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",efsdfs
Putreq,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""putReq"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",put req
quota-test-1,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""endpoint_2"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",/users/1
quota-test-1,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""endpoint_3"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",/users/3
quota-test-1,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""endpoint_1"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",/users/1
Test sawgger 2.0,"{
    ""parameters"": {
        ""uuid"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""/account_activation/{uuid}"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
Test sawgger 2.0,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createAccount"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","**POST data example**: { username: 'test', password: 'yourpassword', email: 'foo@tbar.com', language: 'en' } \
**Response example**: { status: 'success', code: 1, message: ""Account registration successful. A message with an activation link to your account was sent to the e-mail address you entered. "" }

  ### Possible response:
  code        status      message \
      1           success   Account registration successful. A message with an activation link to your account was sent to the e-mail address you entered. \
      2           success   Account registration successful. \
      -1          failed    The account with this name already exist - propose a different name. \
      -2          failed    There is already an account associated with the specified e-mail address. \
      -3          failed    Sorry, something went wrong. Try again. \
      -4          failed    Error in validation email
"
